run,t,x,y,heading,speed,turn_rate,left_spin,right_spin,left_encoder,right_encoder,gyro,left_noise,right_noise,gyro_noise,gyro_bias,severity_left,severity_right,severity_gyro,fault_mode
0,0.76,0.935485,-0.177463,-0.341129,1.36202,-0.343754,14.3937,12.8468,14.4194,12.9474,-0.335789,0.137575,0.131387,0.0101031,0.000628651,0,0.362677,0,bias
0,0.78,0.961124,-0.186665,-0.348004,1.36602,-0.33774,14.4201,12.9002,14.4194,13.2542,-0.329156,0.13768,0.131601,0.0101013,0.000628651,0,0.362677,0,bias
0,0.8,0.986775,-0.196068,-0.354759,1.36989,-0.331722,14.4453,12.9525,14.4194,12.9474,-0.345503,0.137781,0.13181,0.0100995,0.000628651,0,0.362677,0,bias
0,0.82,1.01244,-0.205671,-0.361393,1.37365,-0.325701,14.4693,13.0037,14.4194,12.9474,-0.339439,0.137877,0.132015,0.0100977,0.000628651,0,0.362677,0,bias
0,0.84,1.0381,-0.215468,-0.367907,1.37729,-0.319683,14.4922,13.0536,14.4194,12.9474,-0.329451,0.137969,0.132214,0.0100959,0.000628651,0,0.362677,0,bias
0,0.86,1.06377,-0.225457,-0.374301,1.3808,-0.313672,14.5138,13.1023,14.4194,13.2542,-0.309423,0.138055,0.132409,0.0100941,0.000628651,0,0.362677,0,bias
0,0.88,1.08944,-0.235635,-0.380574,1.3842,-0.307671,14.5342,13.1497,14.7262,13.2542,-0.296528,0.138137,0.132599,0.0100923,0.000628651,0,0.362677,0,bias
0,0.9,1.11512,-0.245997,-0.386728,1.38747,-0.301685,14.5535,13.1959,14.7262,13.561,-0.324923,0.138214,0.132784,0.0100905,0.000628651,0,0.362677,0,bias
0,0.92,1.14078,-0.256541,-0.392761,1.39061,-0.295718,14.5715,13.2407,14.7262,13.2542,-0.290814,0.138286,0.132963,0.0100887,0.000628651,0,0.362677,0,bias
0,0.94,1.16645,-0.267262,-0.398676,1.39363,-0.289773,14.5883,13.2843,14.7262,13.2542,-0.285922,0.138353,0.133137,0.0100869,0.000628651,0,0.362677,0,bias
0,0.96,1.1921,-0.278156,-0.404471,1.39652,-0.283855,14.6038,13.3265,14.4194,13.2542,-0.284325,0.138415,0.133306,0.0100852,0.000628651,0,0.362677,0,bias
0,0.98,1.21775,-0.28922,-0.410148,1.39928,-0.277968,14.6182,13.3673,14.4194,13.561,-0.280251,0.138473,0.133469,0.0100834,0.000628651,0,0.362677,0,bias
0,1,1.24338,-0.300451,-0.415708,1.40191,-0.272115,14.6313,13.4068,14.7262,13.2542,-0.276634,0.138525,0.133627,0.0100816,0.000628651,0,0.362677,0,bias
0,1.02,1.269,-0.311843,-0.42115,1.40441,-0.2663,14.6432,13.4449,14.7262,13.2542,-0.262641,0.138573,0.133779,0.0100799,0.000628651,0,0.362677,0,bias
0,1.04,1.2946,-0.323394,-0.426476,1.40677,-0.260528,14.6539,13.4815,14.7262,13.2542,-0.284069,0.138616,0.133926,0.0100782,0.000628651,0,0.362677,0,bias
0,1.06,1.32019,-0.3351,-0.431687,1.40901,-0.254802,14.6634,13.5167,14.7262,13.561,-0.259514,0.138653,0.134067,0.0100764,0.000628651,0,0.362677,0,bias
0,1.08,1.34575,-0.346955,-0.436783,1.4111,-0.249125,14.6716,13.5505,14.7262,13.8678,-0.248998,0.138686,0.134202,0.0100747,0.000628651,0,0.362677,0,bias
0,1.1,1.3713,-0.358958,-0.441765,1.41307,-0.243502,14.6786,13.5828,14.7262,13.561,-0.22628,0.138714,0.134331,0.0100731,0.000628651,0,0.362677,0,bias
0,1.12,1.39681,-0.371103,-0.446635,1.4149,-0.237936,14.6844,13.6136,14.7262,13.8678,-0.236828,0.138737,0.134455,0.0100714,0.000628651,0,0.362677,0,bias
0,1.14,1.42231,-0.383386,-0.451394,1.41659,-0.232431,14.6889,13.643,14.7262,13.8678,-0.225628,0.138756,0.134572,0.0100697,0.000628651,0,0.362677,0,bias
0,1.16,1.44777,-0.395804,-0.456042,1.41815,-0.226991,14.6923,13.6708,14.7262,13.561,-0.216004,0.138769,0.134683,0.0100681,0.000628651,0,0.362677,0,bias
0,1.18,1.47321,-0.408353,-0.460582,1.41957,-0.221618,14.6944,13.6971,14.4194,13.8678,-0.223049,0.138778,0.134788,0.0100665,0.000628651,0,0.362677,0,bias
0,1.2,1.49861,-0.421029,-0.465015,1.42086,-0.216317,14.6953,13.7219,14.4194,13.8678,-0.217705,0.138781,0.134887,0.0100649,0.000628651,0,0.362677,0,bias
0,1.22,1.52399,-0.433827,-0.469341,1.422,-0.211091,14.695,13.7451,14.7262,13.8678,-0.215258,0.13878,0.13498,0.0100633,0.000628651,0,0.362677,0,bias
0,1.24,1.54932,-0.446744,-0.473563,1.42301,-0.205943,14.6935,13.7667,15.033,13.8678,-0.210087,0.138774,0.135067,0.0100618,0.000628651,0,0.362677,0,bias
0,1.26,1.57462,-0.459775,-0.477682,1.42388,-0.200876,14.6908,13.7868,14.4194,13.561,-0.189314,0.138763,0.135147,0.0100603,0.000628651,0,0.362677,0,bias
0,1.28,1.59989,-0.472918,-0.481699,1.42461,-0.195895,14.6869,13.8054,14.7262,13.8678,-0.178737,0.138748,0.135221,0.0100588,0.000628651,0,0.362677,0,bias
0,1.3,1.62511,-0.486167,-0.485617,1.4252,-0.191001,14.6818,13.8223,14.4194,13.8678,-0.195125,0.138727,0.135289,0.0100573,0.000628651,0,0.362677,0,bias
0,1.32,1.6503,-0.49952,-0.489437,1.42566,-0.186198,14.6755,13.8376,14.7262,13.8678,-0.191738,0.138702,0.135351,0.0100559,0.000628651,0,0.362677,0,bias
0,1.34,1.67544,-0.512972,-0.493161,1.42597,-0.18149,14.6681,13.8514,14.4194,13.8678,-0.172756,0.138672,0.135406,0.0100544,0.000628651,0,0.362677,0,bias
0,1.36,1.70053,-0.526519,-0.496791,1.42615,-0.176878,14.6595,13.8635,14.7262,13.8678,-0.189245,0.138638,0.135454,0.0100531,0.000628651,0,0.362677,0,bias
0,1.38,1.72558,-0.540157,-0.500328,1.42619,-0.172367,14.6497,13.8741,14.7262,14.1746,-0.170374,0.138599,0.135496,0.0100517,0.000628651,0,0.362677,0,bias
0,1.4,1.75059,-0.553884,-0.503776,1.42609,-0.167958,14.6388,13.883,15.033,13.8678,-0.161498,0.138555,0.135532,0.0100504,0.000628651,0,0.362677,0,bias
0,1.42,1.77554,-0.567694,-0.507135,1.42585,-0.163655,14.6267,13.8903,14.7262,14.1746,-0.163099,0.138507,0.135561,0.0100491,0.000628651,0,0.362677,0,bias
